IMSI,MRTime,traj_id,Longitude,Latitude,Num_connected,RNCID_1,CellID_1,AsuLevel_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,AsuLevel_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,AsuLevel_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,AsuLevel_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,AsuLevel_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,AsuLevel_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,AsuLevel_7,SignalLevel_7,RSSI_7
460012796993062,1.5075957659e+12,0,121.2135629,31.29179758,7,6188,26051,27,4,-59,6188,27394,10,3,-93,6188.0,27377.0,18.0,4.0,-77.0,6188.0,27378.0,12.0,4.0,-89.0,6182.0,41139.0,8.0,3.0,-97.0,6188.0,27393.0,9.0,3.0,-95.0,6182.0,44754.0,9.0,3.0,-95.0
460012796993062,1.50759577076e+12,0,121.2135629,31.29179758,7,6188,26051,27,4,-59,6188,27394,11,3,-91,6188.0,27377.0,19.0,4.0,-75.0,6188.0,27378.0,12.0,4.0,-89.0,6182.0,41139.0,8.0,3.0,-97.0,6188.0,27393.0,9.0,3.0,-95.0,6188.0,27379.0,9.0,3.0,-95.0
460012796993062,1.50759577582e+12,0,121.2136022,31.29184981,7,6188,26051,28,4,-57,6188,27394,12,4,-89,6188.0,27377.0,21.0,4.0,-71.0,6188.0,27378.0,11.0,3.0,-91.0,6182.0,41139.0,7.0,2.0,-99.0,6188.0,27393.0,9.0,3.0,-95.0,6188.0,26049.0,8.0,3.0,-97.0
460012796993062,1.50759578088e+12,0,121.2136307,31.29183454,6,6188,26051,31,4,-51,6188,27394,14,4,-85,6188.0,27377.0,21.0,4.0,-71.0,6188.0,27393.0,11.0,3.0,-91.0,0.0,-1.0,9.0,3.0,-95.0,6188.0,27379.0,8.0,3.0,-97.0,,,,,
460012796993062,1.50759578594e+12,0,121.2135942,31.29185586,6,6188,26051,31,4,-51,6188,27394,19,4,-75,6188.0,27377.0,21.0,4.0,-71.0,6188.0,27393.0,15.0,4.0,-83.0,0.0,-1.0,11.0,3.0,-91.0,6188.0,26049.0,12.0,4.0,-89.0,,,,,
460012796993062,1.50759579121e+12,0,121.2135968,31.29185364,6,6188,26051,31,4,-51,6188,27394,20,4,-73,6188.0,27377.0,22.0,4.0,-69.0,6188.0,27393.0,17.0,4.0,-79.0,0.0,-1.0,13.0,4.0,-87.0,6182.0,41155.0,13.0,4.0,-87.0,,,,,
460012796993062,1.50759579626e+12,0,121.2135968,31.29185364,6,6188,26051,31,4,-51,6188,27394,22,4,-69,6188.0,27377.0,23.0,4.0,-67.0,6188.0,27393.0,19.0,4.0,-75.0,0.0,-1.0,15.0,4.0,-83.0,6182.0,41155.0,15.0,4.0,-83.0,,,,,
460012796993062,1.50759580113e+12,0,121.2135272,31.29179135,6,6188,26051,31,4,-51,6188,27394,22,4,-69,6188.0,27377.0,22.0,4.0,-69.0,6188.0,27393.0,20.0,4.0,-73.0,0.0,-1.0,15.0,4.0,-83.0,6182.0,41155.0,16.0,4.0,-81.0,,,,,
460012796993062,1.5075958064e+12,0,121.2135818,31.29175559,6,6188,26051,28,4,-57,6188,27394,23,4,-67,6188.0,27377.0,23.0,4.0,-67.0,6188.0,27393.0,20.0,4.0,-73.0,6182.0,41155.0,16.0,4.0,-81.0,6182.0,41139.0,15.0,4.0,-83.0,,,,,
460012796993062,1.50759581147e+12,0,121.2135635,31.29176761,6,6188,26051,27,4,-59,6188,27394,22,4,-69,6188.0,27377.0,24.0,4.0,-65.0,6188.0,27393.0,20.0,4.0,-73.0,6182.0,41155.0,16.0,4.0,-81.0,6188.0,26049.0,15.0,4.0,-83.0,,,,,
