RNCID,CellID,Latitude,Longitude,Azimuth,Downtilt
6154,8992011,31.28164,121.215723,-1,-1
6154,10109983,31.292278,121.22258,-1,-1
6154,10482955,31.283721,121.222719,-1,-1
6154,10482975,31.281606,121.221778,-1,-1
6154,13284363,31.287406,121.223111,-1,-1
6154,13284373,31.287216,121.223275,-1,-1
6154,185624391,31.284606,121.215729,-1,-1
6271,8889099,31.29422,121.213486,-1,-1
6271,8889100,31.314644,121.211559,-1,-1
6271,8889109,31.28845,121.216789,-1,-1
6271,8889110,31.288042,121.216501,-1,-1
6271,8889119,31.285604,121.210892,-1,-1
6271,8889120,31.284898,121.211335,-1,-1
6271,10215957,31.291186,121.222666,-1,-1
6271,10215967,31.29186,121.208638,-1,-1
6271,10216203,31.288458,121.208018,-1,-1
6271,10216204,31.285644,121.208427,-1,-1
6271,10216213,31.282163,121.211578,-1,-1
6271,10216214,31.281512,121.211566,-1,-1
6271,10216223,31.287205,121.205226,-1,-1
6271,10406933,31.291894,121.204305,-1,-1
6271,10589963,31.288478,121.214195,-1,-1
6271,10589964,31.288478,121.214195,-1,-1
6271,10589973,31.288478,121.214195,-1,-1
6271,10589993,31.284777,121.215439,-1,-1
6271,10590003,31.285538,121.217164,-1,-1
6271,10590033,31.286258,121.214248,-1,-1
6271,10781195,31.288478,121.214195,-1,-1
6271,10781225,31.288435,121.218085,-1,-1
6271,10830623,31.288465,121.221412,-1,-1
6271,11138581,31.282734,121.214153,-1,-1
6271,11640853,31.288352,121.221903,-1,-1
6271,11640863,31.287587,121.220771,-1,-1
6271,13073675,31.281656,121.211973,-1,-1
6271,13073685,31.279392,121.211336,-1,-1
6271,13587723,31.294038,121.20255,-1,-1
6271,185624597,31.286705,121.215445,-1,-1
6271,185624657,31.285794,121.215074,-1,-1
6391,12630531,31.291176,121.221897,-1,-1
